ID|Municipio|UF|Latitude|Longitude
516|SANTA BARBARA D'OESTE|SP|-22.7540|-47.4140
517|SANTA BRANCA|SP|-23.3970|-45.8840
518|SANTA CLARA D'OESTE|SP|-20.0890|-50.9540
519|SANTA CRUZ DA CONCEICAO|SP|-22.1400|-47.4520
520|SANTA CRUZ DA ESPERANCA|SP|-21.2910|-47.4300
521|SANTA CRUZ DAS PALMEIRAS|SP|-21.8270|-47.2490
522|SANTA CRUZ DO RIO PARDO|SP|-22.8990|-49.6330
523|SANTA ERNESTINA|SP|-21.4630|-48.3910
524|SANTA FE DO SUL|SP|-20.2110|-50.9260
525|SANTA GERTRUDES|SP|-22.4570|-47.5300
526|SANTA ISABEL|SP|-23.3160|-46.2210
527|SANTA LUCIA|SP|-21.6850|-48.0840
528|SANTA MARIA DA SERRA|SP|-22.5670|-48.1610
